,run_name,clean_name,mech_string,dataset,optimisation,drop,target_rate,matrix,emb,mem,run_id,efficient_epochs,max pareto logged epoch,n_checkpoints,checkpoints
50,2021-06-04-PTB | AE | matrix-run-02:44:35,PTB | AE | matrix,matrix,PTB,AE,0.0,-0.0,True,False,False,1f035j6z,,,5,"['checkpoint-epoch-006-step-7364-iw-ll_469.pth', 'checkpoint-epoch-007-step-8416-iw-ll_462.pth', 'checkpoint-epoch-008-step-9468-iw-ll_476.pth', 'checkpoint-epoch-009-step-10520-iw-ll_471.pth', 'checkpoint-epoch-011-step-12624-iw-ll_477.pth']"
51,2021-06-02-PTB | AE | embeddings-run-03:33:15,PTB | AE | emb,emb,PTB,AE,0.0,-0.0,False,True,False,spgb0yr1,,,3,"['checkpoint-epoch-002-step-987-iw-ll_167.pth', 'checkpoint-epoch-004-step-1645-iw-ll_185.pth', 'checkpoint-epoch-011-step-3948-iw-ll_211.pth']"
52,2021-06-02-YELP | AE | memory-embeddings-run-13:01:03,YELP | AE | mem+emb,mem+emb,YELP,AE,0.0,-0.0,False,True,True,shoeppcy,,,5,"['checkpoint-epoch-005-step-30474-iw-ll_358.pth', 'checkpoint-epoch-006-step-35553-iw-ll_365.pth', 'checkpoint-epoch-007-step-40632-iw-ll_376.pth', 'checkpoint-epoch-008-step-45711-iw-ll_383.pth', 'checkpoint-epoch-009-step-50790-iw-ll_390.pth']"
53,2021-06-02-PTB | DECODER-ONLY-run-13:01:37,PTB | DEC-ONLY | ,,PTB,DEC-ONLY,0.0,-0.0,False,False,False,26q74rs6,,,1,['checkpoint-epoch-002-step-987-iw-ll_000.pth']
54,2021-06-05-PTB | AE | memory-embeddings-run-05:11:41,PTB | AE | mem+emb,mem+emb,PTB,AE,0.0,-0.0,False,True,True,3juif3eq,,,5,"['checkpoint-epoch-014-step-4935-iw-ll_213.pth', 'checkpoint-epoch-015-step-5264-iw-ll_215.pth', 'checkpoint-epoch-017-step-5922-iw-ll_219.pth', 'checkpoint-epoch-018-step-6251-iw-ll_221.pth', 'checkpoint-epoch-019-step-6580-iw-ll_227.pth']"
55,2021-06-05-YELP | AE | matrix-run-07:16:22,YELP | AE | matrix,matrix,YELP,AE,0.0,-0.0,True,False,False,3v44airy,,,5,"['checkpoint-epoch-000-step-10001-iw-ll_672.pth', 'checkpoint-epoch-001-step-20002-iw-ll_625.pth', 'checkpoint-epoch-003-step-40004-iw-ll_582.pth', 'checkpoint-epoch-008-step-90009-iw-ll_565.pth', 'checkpoint-epoch-009-step-100010-iw-ll_550.pth']"
56,2021-06-06-YELP | AE | matrix-memory-run-02:54:57,YELP | AE | matrix+mem,matrix+mem,YELP,AE,0.0,-0.0,True,False,True,3l3oehs7,,,5,"['checkpoint-epoch-004-step-50005-iw-ll_478.pth', 'checkpoint-epoch-005-step-60006-iw-ll_485.pth', 'checkpoint-epoch-007-step-80008-iw-ll_491.pth', 'checkpoint-epoch-008-step-90009-iw-ll_510.pth', 'checkpoint-epoch-009-step-100010-iw-ll_496.pth']"
57,2021-06-06-YELP | AE | embeddings-run-05:09:31,YELP | AE | emb,emb,YELP,AE,0.0,-0.0,False,True,False,8u5owpvs,,,5,"['checkpoint-epoch-005-step-30474-iw-ll_371.pth', 'checkpoint-epoch-006-step-35553-iw-ll_379.pth', 'checkpoint-epoch-007-step-40632-iw-ll_393.pth', 'checkpoint-epoch-008-step-45711-iw-ll_403.pth', 'checkpoint-epoch-009-step-50790-iw-ll_411.pth']"
58,2021-06-06-YELP | AE | memory-run-15:12:30,YELP | AE | mem,mem,YELP,AE,0.0,-0.0,False,False,True,97zv4w6j,,,5,"['checkpoint-epoch-004-step-25395-iw-ll_393.pth', 'checkpoint-epoch-005-step-30474-iw-ll_407.pth', 'checkpoint-epoch-006-step-35553-iw-ll_412.pth', 'checkpoint-epoch-008-step-45711-iw-ll_430.pth', 'checkpoint-epoch-009-step-50790-iw-ll_442.pth']"
59,2021-06-06-YELP | AE | memory-embeddings-run-15:14:38,YELP | AE | mem+emb,mem+emb,YELP,AE,0.0,-0.0,False,True,True,obe4ywii,,,5,"['checkpoint-epoch-005-step-30474-iw-ll_358.pth', 'checkpoint-epoch-006-step-35553-iw-ll_365.pth', 'checkpoint-epoch-007-step-40632-iw-ll_376.pth', 'checkpoint-epoch-008-step-45711-iw-ll_383.pth', 'checkpoint-epoch-009-step-50790-iw-ll_390.pth']"
60,2021-06-07-PTB | MDR-0.5 | memory-run-07:46:12,PTB | MDR-0.5 | mem,mem,PTB,MDR-0.5,0.0,0.5,False,False,True,3rin8925,,,5,"['checkpoint-epoch-012-step-4277-iw-ll_092.pth', 'checkpoint-epoch-013-step-4606-iw-ll_093.pth', 'checkpoint-epoch-015-step-5264-iw-ll_091.pth', 'checkpoint-epoch-017-step-5922-iw-ll_091.pth', 'checkpoint-epoch-018-step-6251-iw-ll_094.pth']"
61,2021-06-07-PTB | MDR-0.5 | memory | DROP 40-run-14:54:06,PTB | MDR-0.5 | mem | DROP 40,mem,PTB,MDR-0.5,0.4,0.5,False,False,True,vyepl3iz,,,8,"['checkpoint-epoch-002-step-987-iw-ll_117.pth', 'checkpoint-epoch-003-step-1316-iw-ll_105.pth', 'checkpoint-epoch-004-step-1645-iw-ll_100.pth', 'checkpoint-epoch-007-step-2632-iw-ll_095.pth', 'checkpoint-epoch-009-step-3290-iw-ll_092.pth', 'checkpoint-epoch-010-step-3619-iw-ll_092.pth', 'checkpoint-epoch-012-step-4277-iw-ll_091.pth', 'checkpoint-epoch-019-step-6580-iw-ll_090.pth']"
62,2021-06-07-PTB | AE | matrix-memory-run-22:34:56,PTB | AE | matrix+mem,matrix+mem,PTB,AE,0.0,-0.0,True,False,True,2qdb1d24,,,1,['checkpoint-epoch-010-step-11572-iw-ll_000.pth']
